id,symbol,market,headline,url,published_at,source
1,005930,KR,"파죽지세 삼성전자 19만원 안착…증권가는 ""상승 랠리 안 끝났다"" - 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1JN2F6djZkQm5TQXU1N08wenNzOHlpWHBxZ3J0YlZscEROZzNfVFlQbm9raVIwQjVBLVUxMjJBVndudXNmdnpMQmtuR1c2M3llQ2tCN0NZVExZd9IBVEFVX3lxTFB6Z19RQzZ5N2ZzRVNOQVhEeTFXd0dvbzNxMHFiS1kwX0pzN0hsZU1sTHBpYlZmaTJHdHVFN19UVDhrY2NFSFdnU0kyWmp5bnZ4UE56Zw?oc=5,2026-02-19T08:00:00+00:00,한국경제
2,005930,KR,日 노무라 “메모리 제왕의 시대가 도래했다...삼성전자 예상 주가 29만원” - 조선일보,https://news.google.com/rss/articles/CBMigAFBVV95cUxNU3Z5YldzUkxKVXc2SUVPQ0pGU1k4YkJ1Njl2ZWFhMnQ0bk9SRHVxMzFQLTBGc0wxWHVWeDU0NkM3Qzdob1dVZloxcDUxQWZkeE05YS1LeDA5cURTZ0NPWjFtU1I2bDhrQnRyXzdqaUtfTkpHb0d4end1TWoyaUM2NtIBlAFBVV95cUxQVkVJZWd6cFBFeXpfYlB1NFcyLW5jUEJ0X1E5cFNjdDF3THdZQWMxYU1kLTZWR3J2b2w2NlYzTHhBSmxWVTh2T2hHd1ZKNUJnM3VZU2pjNVNCUlBwSVpOV1daWG8yZWxXTGFJU2hzcTBYejFfTG1hUnJoT3RtOFdveTRnQm5NVlRwcC1ielFYZ3RVNkcy?oc=5,2026-02-14T08:00:00+00:00,조선일보
3,005930,KR,“삼성전자 말고 또 있다”…여의도서 강추하는 ‘이 종목’ - v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9DWTlWa0Q5VnhORzk0RWJxRWZGVjllSVlJWmhwSnNfdzBaM2FJb3Zqcm1YdEt6eGtPT1lGcnExQzdac1JXZHlDbWl3UWlocDQ?oc=5,2026-02-17T08:00:00+00:00,v.daum.net
4,005930,KR,"삼성전자 반도체, 엔비디아 제치고 세계 1위 복귀 '초읽기'…2026년 역대급 매출 2000억 달러 전망 - 글로벌이코노믹",https://news.google.com/rss/articles/CBMiiAFBVV95cUxQY1ZHWVVIUnFZbXhucU9OV3Y3WWM1YXV5REIxeEVMRW9KWm4wSTlUcUhhREhRZkRRd0ROMG5ma1Z0THZleVVjajVtU3M0QmU5Zzgzbm9jeHJlR2R6Q1NLRTVGRGwyWDg5THFwcW81d05MZXhQbWs5ZEh4dlhyV3hkS0xEa1hnak02?oc=5,2026-02-21T08:00:00+00:00,글로벌이코노믹
5,005930,KR,"삼성전자 서비스센터, ‘한국에서 가장 존경받는 기업’ 15년 연속 1위 - samsung.com",https://news.google.com/rss/articles/CBMixAJBVV95cUxPNVkyTUFRal9QeVRLVlNkZ1J1Z29hNFNpRnFEdllYUkpKSGt3ckJydjU5VHhfYUd6LVpldXJNMnhsbFRZdDAybElDLVJtRy1QNC1ZSnIxa1duQ3p3ckgxY01SNE4xVkdyZHhzemp2YndCZ3VlTmxpcGpjUzlWVV85VFhQT1N2TTlxSTFNT080VGVFaVFkSHl1Tzh4aVBGMnAxU19kd0hKQzJQRTNVc2pHSmpqb2pKYVlWTG5OalREdkp2VTZZcVI4Z3lYU3JjTFFiVzhZUVE0WjktX1JvcjhucHVQZHoxY2xtNUE5Q2NaYmlCdzVqMWNqeG1PSDBxSlEzVUJuVzBfQ2IwVVNXUnZfQWxNcW1UYndySnFVNXhfSmlKamVPNzJKcEtnQWVITXdtRGpQR2hOLTR6YWxiYUNraVRoRkM?oc=5,2026-02-10T08:00:00+00:00,samsung.com
1,012330,KR,"“로봇 부품사로 성장”…고수들, 연휴 직후 현대모비스 샀다 - 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1sLWN2X3V6YV9xQUcxbE1LVnBfSUhTdXJaUGJVbERZM1V5REtmYVFkVkZ3bzBud0RUMnZ3M24yb1hHSEI2STk5WUxVLWdxQVhjRWs5eXZVV0VuQdIBVEFVX3lxTE80dEpUTkxRMW04b1hpejBJNHp5NVI4VENQV2tNNTFFdzF0M0dRa1RZWVlTM3ZkOEYxVm00MGh5ZGxWTl9IblBNb2xQWjl3ZUV2R3ptNw?oc=5,2026-02-19T08:00:00+00:00,한국경제
2,012330,KR,"현대모비스, 스웨덴 동계시험장에 글로벌 10개 고객사 초청... 혹한 환경에서 핵심기술 공개! - Hyundai Motor Group",https://news.google.com/rss/articles/CBMib0FVX3lxTE0wT3hGcm93V210Zmk3WE94NjU0X1l5VlhnLWlUV2RwZDRaX3JJVG1YcTRrakFpWklKZ3FHR3BRQlNId0xDTFJOX1FESEM3YTYzUlpqWUVvclladW5xUkFONjJvQUVRYzNpRDJRMDRHNA?oc=5,2026-03-03T02:38:12+00:00,Hyundai Motor Group
3,012330,KR,"현대모비스, 스웨덴 동계시험장 20주년… 글로벌 고객사 초청 혹한 핵심기술 시연 - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE54OVA1eUxQdU9yTy1RbVFiRlZIRllHRjhNT2stbmpKQVp1TjFvUU1kdWthTVh6MHZuU2ZBdDlZQ01faTM1U0JEMzI2YzBkaU0?oc=5,2026-03-03T06:35:24+00:00,v.daum.net
4,012330,KR,"현대모비스, 아틀라스 핵심부품 5종 추가수주 가능성…AS 공급도 - 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE16YVBmaWhvQnB0M2Z6ejdaM3FqZHRBeVVlMzdZa2NxakhoNmU5SHY5SFQtaHRYbGxZS1R0SDVNdXBlV2NRX3FGbjJ2c3hyNUtxODkzQmxxZm1xRE3SAWBBVV95cUxPT3NYQmZqRGJjOUZJcHZZSHd2MUI3ang3Rmh1R3dsRHVacHBpYU1QeUM3bmVBYmJGTERiUXRIWTZPLXdpZ3hDa2Zfc3BOcmpQZy1Ta3hiTjRKcWl6MlZQNkk?oc=5,2026-03-04T21:00:01+00:00,연합뉴스
5,012330,KR,[카&테크] 현대모비스 차세대 컴퓨팅 홀로그래픽 AR HUD - 전자신문,https://news.google.com/rss/articles/CBMiTkFVX3lxTE0wV1JRMTBkWXVyMkFQb2czc29vVTRneFotVnVqZDVzc19DVDVsU2ZOaXRpYVNlTzlPMW9uczFBZHhxQ2FoZFJYTEQtUlZrQQ?oc=5,2026-02-19T08:00:00+00:00,전자신문
